image,name,url
jacobin,Jacobin,https://jacobinmag.com
new-internationalist,New Internationalist,https://newint.org
red-pepper,Red Pepper,https://www.redpepper.org.uk
new-socialist,New Socialist,https://newsocialist.org.uk
novara-media,Novara Media,http://novaramedia.com
